nom,numero,tag1,tag2,tag3,pieces,minifigs,Value used,Value new,Prix initial2
Palace Cinema,10232-1,Creator Expert,Modular Buildings Collection,2013,2196,6,10182-1,~$255.29,"Pieces,2196,Minifigs,6, (6 unique to this set),Minifigs,twn176, ,twn177, ,twn178, ,twn179, ,twn180, ,twn181, ,RRP,$149.99, €139.99 | ,More,PPP,6.8c, 6.4c,Packaging,Box,Instructions,Yes,Additional images,26,Launch/exit,1 Mar 2013 - 31 Dec 2017 (4y 10m),Value new,~$307.69,Value used,~$255.29,Related sets,Connects with ,10182-1, ,10185-1, ,10190-1, ,10197-1, ,10211-1, ,10218-1, ,10224-1, ,10243-1, ,10246-1, ,10251-1, ,10255-1, ,5002891-1, "
Horizon Express,10233-1,Creator Expert,Trains,2013,1351,6,,~$232.86,"Pieces,1351,Minifigs,6, (6 unique to this set),Minifigs,cty0352, ,cty0353, ,cty0354, ,cty0355, ,trn233, ,trn234, ,RRP,$129.99 | ,More,PPP,9.6c,Packaging,Box,Instructions,Yes,Additional images,29,Launch/exit,1 Jan 2013 - 31 Dec 2014 (1y 11m 28d),Value new,~$263.15,Value used,~$232.86"
City Park Cafe,3061-1,Friends,Heartlake City,2012,222,2,66435-1,~$16.87,"Pieces,222,Minifigs,2, (1 unique to this set),Minifigs,frnd013, ,frnd014, ,RRP,$34.99 | ,More,PPP,15.8c,Packaging,Box,Instructions,Yes,Additional images,7,Launch/exit,1 Jan 2012 - 31 Dec 2013 (1y 11m 29d),Value new,~$30.00,Value used,~$16.87,Related sets,Included in ,66435-1, "
Sydney Opera House,10234-1,Creator Expert,Landmarks,2013,2989,,,~$182.02,"Pieces,2989,RRP,$319.99, €279.99 | ,More,PPP,10.7c, 9.4c,Packaging,Box,Instructions,Yes,Additional images,11,Launch/exit,1 Sep 2013 - 31 Dec 2016 (3y 3m 29d),Value new,~$356.57,Value used,~$182.02"
Heartlake Flying Club,3063-1,Friends,General,2012,195,1,,~$6.72,"Pieces,195,Minifigs,1, ,Minifigs,frnd008, ,RRP,$19.99 | ,More,PPP,10.3c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Jun 2012 - 31 Dec 2013 (1y 6m 30d),Value new,~$23.09,Value used,~$6.72"
Winter Village Market,10235-1,Creator Expert,Winter Village Collection,2013,1261,9,,~$178.33,"Pieces,1261,Minifigs,9, (9 unique to this set),RRP,$99.99 | ,More,PPP,7.9c,Packaging,Box,Instructions,Yes,Additional images,31,Launch/exit,1 Oct 2013 - 31 Dec 2014 (1y 2m 29d),Value new,~$203.18,Value used,~$178.33"
Olivia's Tree House,3065-1,Friends,Tree Houses,2012,191,1,Random set of the day,~$10.42,"Pieces,191,Minifigs,1, (1 unique to this set),Minifigs,frnd010, ,RRP,$19.99 | ,More,PPP,10.5c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Jan 2012 - 31 Dec 2013 (1y 11m 29d),Value new,~$26.35,Value used,~$10.42,Notes,Random set of the day, on 08 Jan 2023"
Ewok Village,10236-1,Star Wars,Ultimate Collector Series,2013,1990,17,,~$491.60,"Pieces,1990,Minifigs,17, (5 unique to this set),RRP,$249.99, €249.99 | ,More,PPP,12.6c, 12.6c,Packaging,Box,Instructions,Yes,Additional images,54,Launch/exit,1 Sep 2013 - 31 Dec 2016 (3y 3m 29d),Value new,~$493.54,Value used,~$491.60"
Stephanie's Cool Convertible,3183-1,Friends,Traffic,2012,130,1,Random set of the day,~$5.64,"Pieces,130,Minifigs,1, ,Minifigs,frnd008, ,RRP,$14.99 | ,More,PPP,11.5c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Jan 2012 - 31 Jul 2013 (1y 6m 29d),Value new,~$26.65,Value used,~$5.64,Notes,Random set of the day, on 27 Nov 2022,Related sets,Included in ,66435-1, "
Tower of Orthanc,10237-1,The Lord of the Rings,The Two Towers,2013,2359,5,~$517.17,~$623.11,"Pieces,2359,Minifigs,5, (2 unique to this set),Minifigs,lor022, ,lor024, ,lor072, ,lor073, ,lor074, ,RRP,$199.99, €199.99 | ,More,PPP,8.5c, 8.5c,Packaging,Box,Instructions,Yes,Additional images,45,Designers,Bjarke Lykke Madsen, ,Hans Henrik Sidenius, ,Jordan Scott, ,Launch/exit,1 Jul 2013 - 31 Jul 2015 (2y 29d),Value new,~$623.11,Value used,~$517.17"
